Estacao;Data;Hora;DirecaoVento;VelocidadeVento
82678;12/07/2018;1800;14;1.54332;
82678;13/07/2018;0000;9;0.51444;
82678;13/07/2018;1200;14;3.08664;
82678;13/07/2018;1800;14;2.5722;
82678;14/07/2018;0000;14;1.02888;
82678;14/07/2018;1200;14;4.62996;
82678;14/07/2018;1800;9;3.08664;
82678;15/07/2018;0000;14;0.51444;
82678;15/07/2018;1200;9;3.60108;
82678;15/07/2018;1800;14;0.51444;
82678;16/07/2018;0000;14;1.54332;
82678;16/07/2018;1200;14;4.11552;
82678;16/07/2018;1800;14;2.5722;
82678;17/07/2018;0000;18;2.5722;
82678;17/07/2018;1200;14;3.60108;
82678;17/07/2018;1800;14;2.05776;
82678;18/07/2018;0000;0;0;
82678;18/07/2018;1200;14;5.1444;
82678;18/07/2018;1800;9;3.08664;
82678;19/07/2018;0000;14;1.54332;
82678;19/07/2018;1200;14;4.11552;
82678;19/07/2018;1800;14;4.11552;
82678;20/07/2018;0000;14;4.11552;
82678;20/07/2018;1200;14;3.08664;
82678;20/07/2018;1800;14;2.5722;
82678;21/07/2018;0000;14;1.54332;
82678;21/07/2018;1200;14;3.08664;
82678;21/07/2018;1800;9;1.54332;
82678;22/07/2018;0000;14;2.5722;
82678;22/07/2018;1200;14;4.11552;
82678;22/07/2018;1800;14;3.08664;
82678;23/07/2018;0000;14;0.51444;
82678;23/07/2018;1200;14;5.1444;
82678;23/07/2018;1800;14;3.08664;
82678;24/07/2018;0000;14;2.5722;
82678;24/07/2018;1200;14;3.08664;
82678;24/07/2018;1800;14;3.08664;
82678;25/07/2018;0000;14;1.54332;
82678;25/07/2018;1200;14;5.1444;
82678;25/07/2018;1800;14;4.11552;
82678;26/07/2018;0000;14;1.54332;
82678;26/07/2018;1200;9;4.11552;
82678;26/07/2018;1800;14;2.05776;
82678;27/07/2018;0000;14;1.54332;
82678;27/07/2018;1200;14;3.08664;
82678;27/07/2018;1800;14;1.54332;
82678;28/07/2018;0000;14;1.02888;
82678;28/07/2018;1200;14;4.11552;
82678;28/07/2018;1800;14;3.60108;
82678;29/07/2018;0000;14;1.54332;
82678;29/07/2018;1200;9;3.60108;
82678;29/07/2018;1800;14;3.08664;
82678;30/07/2018;0000;0;0;
82678;31/07/2018;0000;18;0.51444;
82678;01/08/2018;1200;5;1.02888;
82678;02/08/2018;1200;9;2.5722;
82678;02/08/2018;1800;18;1.54332;
82678;03/08/2018;1200;9;3.08664;
82678;04/08/2018;1200;9;1.54332;
82678;04/08/2018;1800;14;3.08664;
82678;05/08/2018;0000;18;0.51444;
82678;05/08/2018;1200;18;1.02888;
82678;05/08/2018;1800;5;1.54332;
82678;06/08/2018;0000;0;0;
82678;06/08/2018;1200;32;1.54332;
82678;06/08/2018;1800;9;2.5722;
82678;07/08/2018;0000;0;0;
82678;07/08/2018;1200;9;1.02888;
82678;07/08/2018;1800;9;1.02888;
82678;08/08/2018;0000;18;1.02888;
82678;08/08/2018;1200;9;3.08664;
82678;08/08/2018;1800;9;3.08664;
82678;09/08/2018;0000;18;1.02888;
82678;09/08/2018;1200;14;4.11552;
82678;09/08/2018;1800;23;3.08664;
82678;10/08/2018;0000;9;1.02888;
82678;10/08/2018;1200;0;0;
82678;10/08/2018;1800;23;0.51444;
82678;11/08/2018;0000;0;0;
82678;11/08/2018;1200;36;0.51444;
82678;11/08/2018;1800;36;0.51444;
82678;12/08/2018;0000;9;0.51444;
82678;12/08/2018;1200;36;1.54332;
82678;12/08/2018;1800;27;1.54332;
82678;13/08/2018;0000;0;0;
82678;13/08/2018;1200;36;1.54332;
82678;13/08/2018;1800;36;1.02888;
82678;14/08/2018;0000;0;0;
82678;14/08/2018;1200;36;1.02888;
82678;14/08/2018;1800;14;1.54332;
82678;15/08/2018;0000;0;0;
82678;15/08/2018;1200;5;2.05776;
82678;15/08/2018;1800;14;2.5722;
82678;16/08/2018;0000;14;1.54332;
82678;16/08/2018;1200;9;1.54332;
82678;16/08/2018;1800;36;0.51444;
82678;17/08/2018;0000;9;1.02888;
82678;17/08/2018;1200;32;0.51444;
82678;17/08/2018;1800;0;0;
82678;18/08/2018;0000;14;1.02888;
82678;18/08/2018;1200;14;4.11552;
82678;18/08/2018;1800;9;3.08664;
82678;19/08/2018;0000;14;2.05776;
82678;19/08/2018;1200;14;4.11552;
82678;19/08/2018;1800;14;3.08664;
82678;20/08/2018;0000;14;2.05776;
82678;20/08/2018;1200;14;5.1444;
82678;20/08/2018;1800;14;3.08664;
82678;21/08/2018;0000;18;1.02888;
82678;21/08/2018;1200;14;5.1444;
82678;21/08/2018;1800;14;3.08664;
82678;22/08/2018;0000;14;1.54332;
82678;22/08/2018;1200;9;1.54332;
82678;22/08/2018;1800;9;1.54332;
82678;23/08/2018;0000;18;2.5722;
