Sistema de Informações Hidrológicas,,,,,,,,,,,,,,,,,,,,
Versão Web 3.0,,,,,,,,,,,,,,,,,,,,
© 2018 Agência Nacional de Águas (ANA),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NivelConsistencia: 1 = Bruto, 2 = Consistido,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Restrições da consulta:,,,,,,,,,,,,,,,,,,,,
Código da Estação:34060000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
EstacaoCodigo,NivelConsistencia,Data,Hora,NumMedicao,Cota,Vazao,,,,,,,,,,,,,,
34060000,2,02/04/1970,01/01/1900 07:00:00,26,291,188,,,,,,,,,,,,,,
34060000,2,02/04/1970,01/01/1900 07:00:00,27,290,186,,,,,,,,,,,,,,
34060000,2,03/04/1970,01/01/1900 07:00:00,28,289,188,,,,,,,,,,,,,,
34060000,2,03/04/1970,01/01/1900 07:00:00,29,289,186,,,,,,,,,,,,,,
34060000,2,08/03/1971,01/01/1900 07:00:00,30,340,258,,,,,,,,,,,,,,
34060000,2,08/03/1971,01/01/1900 07:00:00,31,339,261,,,,,,,,,,,,,,
34060000,2,02/04/1972,01/01/1900 07:00:00,32,304,215,,,,,,,,,,,,,,
34060000,2,02/04/1972,01/01/1900 07:00:00,33,305,213,,,,,,,,,,,,,,
34060000,2,16/02/1973,01/01/1900 07:00:00,34,353,287,,,,,,,,,,,,,,
34060000,2,16/02/1973,01/01/1900 07:00:00,35,351,282,,,,,,,,,,,,,,
34060000,2,17/03/1973,01/01/1900 07:00:00,36,365,310,,,,,,,,,,,,,,
34060000,2,17/03/1973,01/01/1900 07:00:00,37,364,297,,,,,,,,,,,,,,
34060000,2,23/03/1973,01/01/1900 07:00:00,38,301,208,,,,,,,,,,,,,,
34060000,2,23/03/1973,01/01/1900 07:00:00,39,301,197,,,,,,,,,,,,,,
34060000,2,14/04/1973,01/01/1900 07:00:00,40,369,350,,,,,,,,,,,,,,
